HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 34.2 MB/s
Transfer Rate Maximum : 75.4 MB/s
Transfer Rate Average : 54.2 MB/s
Position 	Transfer Rate
75.8 %	8.60 ms
75.8 %	0.16 ms
76.6 %	8.78 ms
77.2 %	4.61 ms
77.3 %	0.15 ms
77.3 %	0.34 ms
77.5 %	4.98 ms
77.7 %	3.49 ms
77.9 %	7.94 ms
78.4 %	4.86 ms
78.8 %	5.39 ms
79.0 %	5.80 ms
79.6 %	3.81 ms
79.9 %	8.04 ms
79.9 %	4.85 ms
80.4 %	0.17 ms
80.6 %	13.70 ms
81.5 %	3.82 ms
81.5 %	13.50 ms
81.7 %	7.31 ms
81.9 %	0.41 ms
82.0 %	7.39 ms
82.1 %	0.18 ms
82.4 %	7.77 ms
82.8 %	5.88 ms
83.2 %	2.50 ms
83.6 %	8.40 ms
84.4 %	7.87 ms
84.8 %	6.91 ms
85.0 %	5.33 ms
85.4 %	0.18 ms
85.7 %	15.22 ms
86.3 %	0.17 ms
86.9 %	13.17 ms
87.1 %	5.68 ms
87.4 %	4.64 ms
87.5 %	0.17 ms
87.6 %	5.60 ms
87.9 %	15.83 ms
88.3 %	8.24 ms
88.5 %	5.51 ms
89.0 %	13.24 ms
89.5 %	5.61 ms
89.7 %	0.23 ms
89.7 %	0.54 ms
89.9 %	4.84 ms
90.5 %	4.28 ms
90.8 %	4.70 ms
91.0 %	12.93 ms
91.0 %	5.68 ms
92.1 %	4.28 ms
