HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 19.0 MB/s
Transfer Rate Maximum : 90.8 MB/s
Transfer Rate Average : 71.1 MB/s
Position 	Transfer Rate
43.0 %	16.72 ms
43.0 %	14.73 ms
43.2 %	12.55 ms
43.3 %	18.87 ms
43.5 %	14.98 ms
43.5 %	16.46 ms
43.5 %	14.45 ms
43.5 %	14.10 ms
43.5 %	23.92 ms
43.9 %	13.93 ms
43.9 %	21.37 ms
44.1 %	17.67 ms
44.2 %	25.22 ms
44.2 %	14.05 ms
44.2 %	14.35 ms
44.4 %	21.54 ms
44.5 %	18.17 ms
44.7 %	18.14 ms
44.8 %	19.58 ms
44.9 %	14.24 ms
45.0 %	22.44 ms
45.1 %	21.31 ms
45.8 %	15.95 ms
45.9 %	23.09 ms
45.9 %	15.11 ms
45.9 %	17.16 ms
46.0 %	18.90 ms
46.0 %	15.93 ms
46.0 %	19.05 ms
46.3 %	18.05 ms
46.4 %	21.43 ms
46.5 %	18.16 ms
46.7 %	16.74 ms
46.7 %	15.30 ms
46.8 %	23.41 ms
46.8 %	15.52 ms
46.8 %	22.48 ms
46.8 %	18.40 ms
47.2 %	19.31 ms
47.3 %	19.53 ms
47.3 %	18.43 ms
47.4 %	24.46 ms
47.5 %	19.93 ms
47.8 %	16.50 ms
47.8 %	23.27 ms
47.9 %	19.03 ms
47.9 %	18.30 ms
48.0 %	24.54 ms
48.1 %	17.09 ms
48.3 %	18.09 ms
48.3 %	17.59 ms
48.4 %	21.28 ms
48.5 %	21.77 ms
48.5 %	22.63 ms
48.7 %	16.20 ms
48.9 %	14.36 ms
49.0 %	18.30 ms
49.0 %	23.73 ms
49.0 %	24.03 ms
49.0 %	23.42 ms
49.2 %	22.23 ms
49.2 %	16.88 ms
49.2 %	17.70 ms
49.3 %	19.45 ms
49.4 %	16.54 ms
49.5 %	24.18 ms
49.6 %	15.31 ms
49.8 %	19.18 ms
50.8 %	18.46 ms
51.0 %	15.16 ms
51.2 %	21.99 ms
51.3 %	14.37 ms
51.4 %	13.48 ms
51.5 %	15.27 ms
51.7 %	22.15 ms
51.7 %	19.73 ms
51.7 %	20.45 ms
51.8 %	15.29 ms
