HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 27.6 MB/s
Transfer Rate Maximum : 64.6 MB/s
Transfer Rate Average : 53.1 MB/s
Position 	Transfer Rate
44.4 %	16.06 ms
44.5 %	11.71 ms
44.5 %	17.41 ms
44.6 %	14.93 ms
44.7 %	13.03 ms
44.8 %	14.02 ms
45.0 %	10.01 ms
45.5 %	14.68 ms
45.6 %	17.56 ms
45.6 %	17.33 ms
45.7 %	13.11 ms
45.7 %	15.19 ms
46.0 %	12.28 ms
46.1 %	16.33 ms
46.4 %	12.70 ms
46.4 %	18.46 ms
46.5 %	12.13 ms
46.7 %	15.45 ms
46.7 %	13.87 ms
46.9 %	11.84 ms
47.1 %	16.83 ms
47.2 %	18.45 ms
47.5 %	16.77 ms
47.6 %	17.38 ms
47.7 %	10.59 ms
48.1 %	12.84 ms
48.2 %	10.23 ms
48.2 %	15.99 ms
48.5 %	12.51 ms
48.6 %	13.09 ms
48.6 %	12.76 ms
48.7 %	15.38 ms
49.0 %	14.26 ms
49.2 %	12.20 ms
49.2 %	16.77 ms
49.2 %	11.57 ms
49.4 %	15.77 ms
49.4 %	10.74 ms
50.0 %	12.09 ms
50.1 %	16.87 ms
50.2 %	18.68 ms
50.2 %	14.23 ms
50.3 %	17.78 ms
50.5 %	14.21 ms
50.5 %	14.91 ms
50.5 %	14.49 ms
50.6 %	17.66 ms
51.1 %	15.57 ms
51.2 %	17.15 ms
51.3 %	18.27 ms
51.3 %	13.55 ms
51.4 %	18.06 ms
51.4 %	15.82 ms
51.5 %	18.32 ms
51.6 %	17.08 ms
51.9 %	15.15 ms
51.9 %	19.20 ms
52.1 %	15.33 ms
52.1 %	25.81 ms
52.2 %	11.45 ms
52.3 %	15.25 ms
52.4 %	13.37 ms
52.4 %	16.68 ms
52.4 %	15.29 ms
52.6 %	15.72 ms
52.6 %	12.62 ms
52.9 %	11.25 ms
53.0 %	17.40 ms
53.3 %	16.43 ms
53.6 %	13.04 ms
53.8 %	11.30 ms
53.9 %	13.84 ms
54.1 %	13.30 ms
54.2 %	14.52 ms
54.3 %	16.89 ms
54.4 %	17.61 ms
54.5 %	16.83 ms
55.1 %	17.16 ms
