HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 35.7 MB/s
Transfer Rate Maximum : 73.0 MB/s
Transfer Rate Average : 56.7 MB/s
Position 	Transfer Rate
28.1 %	18.80 ms
28.2 %	10.57 ms
28.2 %	12.65 ms
28.3 %	12.33 ms
28.3 %	16.83 ms
28.3 %	13.45 ms
28.3 %	15.22 ms
28.4 %	18.24 ms
28.4 %	10.04 ms
28.4 %	11.63 ms
28.6 %	14.43 ms
28.8 %	10.65 ms
29.0 %	11.28 ms
29.0 %	14.90 ms
29.3 %	18.41 ms
29.5 %	10.16 ms
29.7 %	11.78 ms
30.1 %	14.90 ms
30.3 %	16.91 ms
30.3 %	13.76 ms
30.4 %	18.23 ms
30.5 %	17.48 ms
30.7 %	15.91 ms
30.7 %	18.20 ms
30.9 %	15.69 ms
31.0 %	15.31 ms
31.0 %	18.61 ms
31.0 %	10.75 ms
31.0 %	16.88 ms
31.1 %	13.79 ms
31.3 %	16.66 ms
31.4 %	17.89 ms
31.5 %	13.39 ms
31.6 %	16.59 ms
31.7 %	12.77 ms
31.8 %	15.10 ms
31.8 %	17.53 ms
31.8 %	15.46 ms
31.8 %	10.56 ms
31.9 %	18.69 ms
31.9 %	13.46 ms
32.1 %	17.16 ms
32.2 %	12.12 ms
32.3 %	11.91 ms
32.8 %	16.03 ms
32.9 %	11.46 ms
33.2 %	17.08 ms
33.2 %	16.65 ms
33.3 %	16.84 ms
33.4 %	13.03 ms
33.5 %	15.56 ms
33.5 %	20.01 ms
33.6 %	13.78 ms
33.8 %	12.43 ms
33.9 %	17.37 ms
34.2 %	11.99 ms
34.3 %	16.30 ms
34.5 %	17.60 ms
34.6 %	12.45 ms
34.9 %	12.14 ms
34.9 %	17.33 ms
35.1 %	10.91 ms
35.2 %	11.90 ms
35.3 %	15.09 ms
35.4 %	13.81 ms
35.5 %	14.62 ms
35.6 %	11.85 ms
35.6 %	13.83 ms
35.7 %	13.58 ms
35.9 %	12.17 ms
36.1 %	17.11 ms
36.1 %	12.82 ms
36.2 %	15.31 ms
36.2 %	13.48 ms
36.5 %	14.96 ms
36.5 %	15.47 ms
36.6 %	12.73 ms
36.8 %	19.57 ms
36.9 %	17.98 ms
36.9 %	17.77 ms
37.0 %	18.99 ms
37.0 %	20.09 ms
37.0 %	14.43 ms
37.1 %	15.28 ms
37.2 %	11.63 ms
37.2 %	12.45 ms
37.3 %	17.61 ms
37.4 %	16.07 ms
37.5 %	18.26 ms
37.7 %	15.34 ms
37.7 %	16.72 ms
38.0 %	19.13 ms
38.1 %	15.27 ms
38.1 %	15.33 ms
38.2 %	15.56 ms
38.3 %	17.28 ms
38.4 %	19.13 ms
38.4 %	13.26 ms
38.5 %	15.59 ms
38.6 %	14.13 ms
38.8 %	13.22 ms
38.8 %	12.74 ms
39.0 %	17.72 ms
39.0 %	18.47 ms
39.1 %	17.23 ms
39.1 %	16.86 ms
39.2 %	17.31 ms
