HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 16.9 MB/s
Transfer Rate Maximum : 95.1 MB/s
Transfer Rate Average : 73.7 MB/s
Position 	Transfer Rate
25.7 %	15.03 ms
25.8 %	19.77 ms
25.8 %	5.81 ms
25.8 %	6.07 ms
26.0 %	3.69 ms
26.1 %	0.09 ms
26.1 %	10.77 ms
26.2 %	0.09 ms
26.2 %	9.30 ms
26.3 %	7.19 ms
26.5 %	4.26 ms
26.5 %	7.52 ms
26.6 %	0.11 ms
26.6 %	4.28 ms
26.7 %	0.09 ms
26.8 %	7.02 ms
27.0 %	0.09 ms
27.0 %	0.09 ms
27.1 %	0.11 ms
27.2 %	5.34 ms
27.2 %	6.04 ms
27.3 %	4.33 ms
27.3 %	7.17 ms
27.5 %	6.44 ms
27.7 %	7.57 ms
28.0 %	0.10 ms
28.0 %	0.09 ms
28.0 %	6.92 ms
28.1 %	7.24 ms
28.2 %	4.98 ms
28.2 %	7.65 ms
28.6 %	8.27 ms
28.6 %	6.43 ms
28.9 %	3.29 ms
28.9 %	22.10 ms
28.9 %	16.52 ms
29.0 %	5.12 ms
29.1 %	6.46 ms
29.1 %	5.53 ms
29.2 %	5.43 ms
29.4 %	5.80 ms
29.4 %	18.54 ms
29.5 %	32.68 ms
29.8 %	5.72 ms
29.8 %	7.82 ms
29.8 %	6.28 ms
29.9 %	4.64 ms
29.9 %	7.12 ms
29.9 %	5.05 ms
30.0 %	6.60 ms
30.0 %	6.59 ms
30.3 %	2.80 ms
30.3 %	0.09 ms
30.3 %	0.14 ms
30.4 %	6.93 ms
30.4 %	14.68 ms
30.4 %	7.02 ms
30.5 %	6.15 ms
30.6 %	29.36 ms
30.7 %	4.88 ms
30.8 %	10.76 ms
31.0 %	6.17 ms
31.2 %	4.98 ms
31.2 %	5.36 ms
31.2 %	3.01 ms
31.4 %	4.57 ms
31.4 %	4.57 ms
31.4 %	17.93 ms
31.4 %	0.10 ms
31.6 %	4.40 ms
31.7 %	6.95 ms
31.8 %	7.19 ms
31.8 %	3.26 ms
31.8 %	6.48 ms
32.0 %	5.71 ms
32.1 %	6.93 ms
32.2 %	0.13 ms
32.2 %	4.08 ms
32.2 %	6.37 ms
32.3 %	4.66 ms
32.4 %	0.10 ms
32.5 %	6.62 ms
32.5 %	9.62 ms
32.7 %	6.86 ms
32.7 %	4.04 ms
32.7 %	6.12 ms
32.8 %	5.43 ms
32.8 %	6.22 ms
32.9 %	6.18 ms
32.9 %	5.40 ms
33.0 %	4.97 ms
33.0 %	8.40 ms
33.1 %	0.10 ms
33.1 %	6.71 ms
33.2 %	5.46 ms
33.3 %	6.43 ms
33.4 %	5.73 ms
33.5 %	5.32 ms
33.5 %	8.27 ms
33.6 %	0.10 ms
33.7 %	0.09 ms
33.8 %	4.88 ms
33.8 %	18.37 ms
34.0 %	5.82 ms
34.1 %	6.84 ms
34.1 %	8.18 ms
34.3 %	7.92 ms
34.4 %	5.77 ms
34.6 %	0.09 ms
34.6 %	6.72 ms
34.6 %	6.04 ms
34.7 %	7.69 ms
34.8 %	6.87 ms
34.9 %	4.27 ms
34.9 %	6.36 ms
34.9 %	6.95 ms
35.1 %	5.80 ms
35.2 %	0.34 ms
35.4 %	5.56 ms
35.5 %	7.18 ms
35.5 %	5.64 ms
35.6 %	8.47 ms
35.6 %	34.85 ms
35.7 %	7.66 ms
35.8 %	5.61 ms
35.8 %	0.09 ms
35.8 %	5.56 ms
35.8 %	0.10 ms
35.9 %	10.81 ms
36.0 %	6.22 ms
36.1 %	6.45 ms
36.2 %	6.51 ms
36.3 %	0.21 ms
36.4 %	0.33 ms
36.6 %	8.99 ms
36.8 %	5.17 ms
36.8 %	5.62 ms
37.0 %	7.22 ms
37.1 %	15.28 ms
37.1 %	9.17 ms
37.3 %	5.46 ms
37.4 %	0.09 ms
37.4 %	0.10 ms
37.5 %	5.33 ms
37.6 %	5.96 ms
37.7 %	6.91 ms
37.8 %	5.77 ms
37.8 %	4.27 ms
37.8 %	4.87 ms
38.0 %	4.75 ms
38.1 %	14.11 ms
38.2 %	5.56 ms
38.3 %	6.48 ms
38.3 %	4.70 ms
38.4 %	0.09 ms
38.4 %	5.82 ms
38.8 %	7.32 ms
38.9 %	5.16 ms
39.0 %	6.25 ms
39.0 %	6.94 ms
39.1 %	7.37 ms
39.1 %	4.85 ms
39.2 %	4.39 ms
39.2 %	5.22 ms
39.3 %	7.15 ms
39.3 %	5.41 ms
39.3 %	5.08 ms
39.5 %	6.26 ms
39.5 %	5.39 ms
39.9 %	4.68 ms
40.0 %	6.18 ms
40.1 %	8.25 ms
40.3 %	0.09 ms
40.3 %	6.45 ms
40.4 %	0.28 ms
40.7 %	5.58 ms
40.9 %	4.24 ms
40.9 %	8.89 ms
40.9 %	4.66 ms
41.0 %	5.60 ms
41.3 %	5.83 ms
41.4 %	7.68 ms
41.4 %	38.77 ms
41.5 %	6.13 ms
41.5 %	0.10 ms
41.7 %	18.70 ms
41.7 %	0.10 ms
41.9 %	0.10 ms
41.9 %	6.40 ms
42.0 %	6.30 ms
42.2 %	1.91 ms
42.4 %	0.09 ms
42.4 %	5.92 ms
42.5 %	4.47 ms
42.5 %	4.99 ms
42.7 %	0.09 ms
42.7 %	9.66 ms
42.9 %	5.42 ms
43.0 %	0.12 ms
43.0 %	5.57 ms
43.2 %	4.11 ms
43.3 %	6.95 ms
43.5 %	5.66 ms
43.5 %	5.31 ms
43.5 %	4.97 ms
43.5 %	5.61 ms
43.5 %	4.78 ms
43.9 %	7.22 ms
43.9 %	6.89 ms
44.1 %	2.42 ms
44.2 %	8.93 ms
44.2 %	8.40 ms
44.2 %	16.63 ms
44.4 %	7.51 ms
44.5 %	0.10 ms
44.7 %	7.32 ms
44.8 %	4.41 ms
44.9 %	5.05 ms
45.0 %	7.27 ms
45.1 %	4.98 ms
45.8 %	5.12 ms
45.9 %	6.03 ms
45.9 %	7.61 ms
45.9 %	5.32 ms
46.0 %	0.09 ms
46.0 %	6.02 ms
46.0 %	10.19 ms
46.3 %	5.55 ms
46.4 %	8.40 ms
46.5 %	0.09 ms
46.7 %	22.83 ms
46.7 %	5.38 ms
46.8 %	0.12 ms
46.8 %	5.46 ms
46.8 %	0.09 ms
46.8 %	3.89 ms
47.2 %	0.25 ms
47.3 %	5.17 ms
47.3 %	4.70 ms
47.4 %	0.10 ms
47.5 %	7.22 ms
47.8 %	6.61 ms
47.8 %	6.16 ms
47.9 %	7.15 ms
47.9 %	6.22 ms
48.0 %	6.00 ms
48.1 %	5.03 ms
48.3 %	7.11 ms
48.3 %	6.91 ms
48.4 %	5.94 ms
48.5 %	5.50 ms
48.5 %	4.55 ms
48.7 %	0.10 ms
48.9 %	5.60 ms
49.0 %	0.09 ms
49.0 %	5.91 ms
49.0 %	6.30 ms
49.0 %	0.34 ms
49.2 %	6.60 ms
49.2 %	4.91 ms
49.2 %	11.35 ms
49.3 %	4.53 ms
49.4 %	5.13 ms
49.5 %	19.11 ms
49.6 %	5.12 ms
49.8 %	5.88 ms
50.8 %	8.63 ms
51.0 %	0.10 ms
51.2 %	4.89 ms
51.3 %	2.37 ms
51.4 %	6.08 ms
51.5 %	10.50 ms
51.7 %	5.28 ms
51.7 %	0.09 ms
51.7 %	7.99 ms
51.8 %	7.05 ms
51.9 %	9.88 ms
51.9 %	7.25 ms
52.2 %	6.30 ms
52.2 %	7.22 ms
52.5 %	4.50 ms
52.7 %	15.23 ms
52.9 %	0.09 ms
53.0 %	6.29 ms
53.1 %	0.09 ms
53.2 %	4.93 ms
53.4 %	4.86 ms
53.4 %	6.38 ms
53.4 %	7.01 ms
53.5 %	0.09 ms
53.5 %	0.09 ms
53.9 %	6.01 ms
54.4 %	15.20 ms
54.5 %	5.79 ms
54.5 %	0.32 ms
54.5 %	0.10 ms
